"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"PSI-DICE","24",0.651044449809175,52.1773913043478,0.678438661710037,68.4375,0.5,0.75,16
"PSI-DICE","25",0.571253625402631,100.218179347826,0.640652408656485,132.6875,0.3125,0.6875,16
"PSI-DICE","26",0.628950625243493,172.907635869565,0.766657336140125,240.75,0.1875,0.375,16
"PSI-DICE","27",0.28617981711124,31.7717119565217,0.288522890880781,38.3125,0.375,0.75,16
"PSI-DICE","28",0.492374251553235,23.5100543478261,0.571142284569138,35.625,0.25,0.8125,16
"PSI-DICE","29",0.541542866005392,134.738831521739,0.62502743752537,181.9375,0.3125,0.5,16
"PSI-DICE","30",0.693518214083827,19.623152173913,0.798884839202499,28.3125,0.25,0.625,16
"PSI-DICE","31",0.695169984937224,21.884347826087,0.703313253012048,29.1875,0.25,0.5625,16
"PSI-DICE","32",0.542284050440917,60.7728532608696,0.525826199941765,71.4375,0.25,0.3125,16
"PSI-DICE","33",0.716729229475304,26.468125,0.800996644598718,34,0.5,0.625,16
"PSI-DICE","34",0.639497481338797,117.06125,0.678968379207156,151.8125,0.1875,0.4375,16
"PSI-DICE","35",0.622524961839749,51.899347826087,0.574352799518362,59.625,0.375,0.6875,16
"PSI-DICE","36",0.582108492868602,228.563940217391,0.576546018495904,263.3125,0.1875,0.375,16
"PSI-DICE","37",0.674774427097417,88.8453804347826,0.712930054922409,116.5,0.25,0.5625,16
"PSI-DICE","38",0.978390078933207,15.4636413043478,1.07352941176471,22.8125,0.25,0.6875,16
"PSI-DICE","39",0.621043097253141,147.665135869565,0.58705304853782,168.8125,0.3125,0.4375,16
"PSI-DICE","40",0.711582673517118,153.748342391304,0.663431206017957,170.875,0.5,0.75,16
"PSI-DICE","41",0.754430208287488,131.386847826087,0.785057448948085,153.375,0.25,0.5,16
"PSI-DICE","42",0.575342080702755,180.767744565217,0.646283783783784,239.125,0.375,0.625,16
"PSI-DICE","44",0.781149670336854,9.06956521739131,1.04281663484063,14.9375,0.4375,0.8125,16
"PSI-DICE","45",0.86710375018924,52.295027173913,1.02449324324324,75.8125,0.1875,0.6875,16
"PSI-DICE","46",1.03520515041644,23.4464402173913,1.08704883227176,32,0.1875,0.5625,16
"PSI-DICE","47",0.65396485426671,88.77875,0.740269461077844,123.625,0.25,0.6875,16
"PSI-DICE","48",0.632347598128021,315.83222826087,0.682154605263158,414.75,0.1875,0.3125,16
"PSI-DICE","49",1.03197290070701,17.0951358695652,1.10644257703081,24.6875,0.125,0.625,16
"PSI-DICE","50",0.685329200823241,11.4867119565217,0.730793011959387,14.4375,0.5625,0.75,16
"PSI-DICE","51",0.944798673707025,90.3151902173913,0.980227308443762,116.5,0.1875,0.4375,16
"PSI-DICE","53",0.644295282825203,122.697554347826,0.609697839322119,131.75,0.375,0.625,16
"PSI-DICE","54",0.678137944811522,48.8902445652174,0.631578947368421,57,0.5625,0.5625,16
"PSI-DICE","55",0.716210839780073,94.3925543478261,0.730018574957756,111.375,0.25,0.375,16
"PSI-DICE","56",0.962480331098682,15.8238043478261,1.10479041916168,23.0625,0.1875,0.625,16
"PSI-DICE","72",2.82421721298725,41.9344836956522,2.55555555555556,60.375,0.375,0.625,16
"PSI-DICE","US",0.502333586926542,3271.15241847826,0.566516165776593,4289.625,0.25,0.625,16
